YEAR,Team,DATE,LOCATION,OPPONENT,RESULT,TEAMSCORE,OPPSCORE,RECORD,WAB,ADJO,ADJD,OPPP,OEFG%,OTO%,OOR%,OFTR,DPPP,DEFG%,DTO%,DOR%,DFTR
2018,Arizona St.,Fri 12-08,N,St. John's,W,82,70,8-0,2.3,122.7,94.5,112.1,53.6,19.1,26.7,49.1,95.7,44.5,15,30.2,34.4
2018,Arizona St.,Sun 12-10,A,Kansas,W,95,85,9-0,3.1,131.6,96.3,123.6,61.5,13,23.5,30.8,110.6,58.2,20.8,28.6,13.4
2018,Arizona St.,Sun 12-17,H,Vanderbilt,W,76,64,10-0,3.3,96.7,82.4,102.5,48.2,22.9,41.7,49.1,86.3,36.8,20.2,33.3,27.9
2018,Arizona St.,Tue 12-19,H,Longwood,W,95,61,11-0,3.3,102.6,96.9,116.1,52.2,13.4,34.1,52.2,74.6,44.7,31.8,26.8,35.1
2018,Arizona St.,Fri 12-22,H,Pacific,W,104,65,12-0,3.4,130.2,94.1,140.3,62.7,12.1,36.4,38.8,87.7,38.1,18.9,41.7,34.3
2018,Arizona St.,Sat 12-30,A,Arizona,L,78,84,12-1,3.1,109.2,98,103.4,43.9,17.2,37.2,37.9,111.4,51.6,21.2,36.1,37.1
2018,Arizona St.,Thu 1-04,A,Colorado,L,81,90,12-2,2.5,110.7,104.9,99.6,42,8.6,26.5,32,110.7,53.1,17.2,27.5,50
2018,Arizona St.,Sun 1-07,A,Utah,W,80,77,13-2,3.1,127.3,103.1,116.8,51.7,19,35.3,39.7,112.4,58.5,17.5,13,87.8
2018,Arizona St.,Thu 1-11,H,Oregon,L,72,76,13-3,2.4,115.7,109.4,110.5,54.3,16.9,25.8,67.4,116.6,49.2,15.3,39.5,21.5
2018,Arizona St.,Sat 1-13,H,Oregon St.,W,77,75,14-3,2.5,111.6,108.2,111,53.5,17.3,30.3,38.6,108.1,53.1,20.2,37.8,13.8
2018,Arizona St.,Wed 1-17,A,Stanford,L,77,86,14-4,2,111.1,110.8,103.5,49.2,10.8,18.4,41,115.6,57.1,17.5,36.1,39.7
2018,Arizona St.,Sat 1-20,A,California,W,81,73,15-4,2.2,116.6,106.1,112.5,55.7,16.7,28.1,26.2,101.4,50.8,12.5,18.9,36.7
2018,Arizona St.,Thu 1-25,H,Utah,L,77,80,15-5,1.5,110.1,103.3,104.6,47.1,13.6,31.1,20,108.7,54.8,16.3,20,29
2018,Arizona St.,Sat 1-27,H,Colorado,W,80,66,16-5,1.7,109.5,93.3,108.3,50,9.5,16.7,34.4,89.4,47.5,23,25,14.8
2018,Arizona St.,Thu 2-01,A,Washington,L,64,68,16-6,1.1,96.7,95.9,91.7,49.1,21.5,24.2,31.5,97.4,43.4,18.6,33.3,29.5
2018,Arizona St.,Sun 2-04,A,Washington St.,W,88,78,17-6,1.3,115.3,107.2,122.7,62.3,16.7,29.6,21.3,108.8,59.6,25.1,26.7,19.3
2018,Arizona St.,Thu 2-08,H,USC,W,80,78,18-6,1.7,111.8,99.3,108.3,46.9,8.1,27.9,50,105.6,56.4,24.4,25,36.4
2018,Arizona St.,Sat 2-10,H,UCLA,W,88,79,19-6,1.9,116.6,95,114.3,49.2,9.1,21.6,43.8,102.6,51.5,15.6,16.2,18.2
2018,Arizona St.,Thu 2-15,H,Arizona,L,70,77,19-7,1.3,99.1,96.7,96.9,47.7,19.4,28.6,18.2,106.6,53.8,27.7,46.7,51.9
2018,Arizona St.,Thu 2-22,A,Oregon,L,68,75,19-8,0.8,105.3,100.9,98.9,45.6,11.6,15.2,31.6,109.1,44.4,10.2,30.8,36.5
2018,Arizona St.,Sat 2-24,A,Oregon St.,L,75,79,19-9,0.3,115.2,112.1,110.4,51.8,23.6,42.4,38.2,116.3,57.5,23.6,41.4,47.2
2018,Arizona St.,Sat 3-03,H,Stanford,L,83,84,20-10,-0.5,109.7,110.7,108,53.1,7.8,10.8,35.9,109.3,59.4,27.3,38.7,58.5
2018,Arizona St.,Wed 3-07,N,Colorado,L,85,97,20-11,-1.2,132.7,134.6,121.9,57.9,4.3,18.4,33.3,139.1,63.7,10,29.6,32.3
2018,Arizona St.,Wed 3-14,N,Syracuse (11),L,56,60,20-12,-1.7,107.4,96,92.8,51,18.2,22.9,19.2,99.4,48,18.2,27.8,46.9
2018,Arizona St.,Thu 3-01,H,California,W,84,53,20-9,0.3,109.5,85.4,115.3,54.9,15.1,22.2,72.5,72.8,34.4,23.3,31.1,27.9
2019,Arizona St.,Tue 11-06,H,Cal St. Fullerton,W,102,94,1-0,0.1,104.4,107,106.1,48.7,17.7,36.4,56.4,97.8,50.7,17.7,15.6,35.1
2019,Arizona St.,Fri 11-09,H,McNeese St.,W,80,52,2-0,0.1,101.4,90.5,118.9,50.9,16.3,41.7,46.6,77.3,37.2,25.3,26.3,61.7
